Id,Start,End,Values
0200a1,2,5,2.5681950495793266;49.24516296386719 2.4775578425480766;49.188720703125 2.3491727388822112;49.10870361328125 2.2203947368421053;49.02904963089248 
4ca293,3,6,6.617985215297965;43.4110107421875 6.662249897801599;43.409637451171875 6.769366597020349;43.408905029296875 6.871490478515625;43.40758760096663 
4ca251,1,6,6.700387349942836;46.14134216308594 6.691154479980469;46.26389325675318 6.683258056640625;46.385860119835804 6.7591374094893295;46.48851013183594 6.8921356201171875;46.56238620564089 7.025138854980469;46.63659047272245 
478535,1,6,9.100341796875;50.821729757018005 9.066244589315879;50.70552062988281 9.0292028478674;50.57821500099311 8.993104633532072;50.453521728515625 8.95804957339638;50.33161926269531 8.92216038059544;50.206122964115465 
4ca27a,4,5,2.6104954310825894;45.08949279785156 2.6170237471417686;45.03230725304555 
40093d,1,6,9.147079467773438;47.091888427734375 8.975970928485577;47.132744223384535 8.797233581542969;47.17218017578125 8.61828143780048;47.21123129634534 8.44189453125;47.24945068359375 8.263298034667969;47.28785705566406 
a1e2c4,3,6,-3.266251507927393;54.62297058105469 -3.2042918485753944;54.54039001464844 -3.117936078239893;54.424163818359375 -3.033599853515625;54.31013488769531 
4ca242,1,5,-1.8901192801339286;53.73980712890625 -1.966795079848339;53.8254197977357 -2.079476492745536;53.951385498046875 -2.1590488978794156;54.03936767578125 -2.2522757393973216;54.1424560546875 
4bcca5,3,4,8.362303037901183;51.863067626953125 8.300542058171454;51.87922668457031 
47a851,1,6,8.345665564903845;47.52811237917108 8.457219050480768;47.61460643703654 8.577507019042969;47.70698547363281 8.691215515136719;47.79441833496094 8.804924011230469;47.88230895996094 8.920005798339844;47.97015380859375 
06a069,1,5,5.392608642578125;50.87512517379502 5.190297719594595;50.918792724609375 4.92523193359375;50.975445246292374 4.79144946948902;51.003753662109375 4.591839764569257;51.04559326171875 
aa7d5d,1,6,-0.4135894775390625;51.58402265128443 -0.6223606418918735;51.600677490234375 -0.8304327887457816;51.61683654785156 -1.0396575927734375;51.63266973980402 -1.2479132574957816;51.64796447753906 -1.4583587646484375;51.66316145557468 
400db4,1,6,-3.2612540505149354;40.77370853747352 -3.1968994140625;40.866668701171875 -3.052490234375;40.89820861816406 -2.89990234375;40.92649841308594 -2.7413330078125;40.95611572265625 -2.5779793479225646;40.986405712063025 
4ca963,1,6,-0.89630126953125;51.32253873146186 -0.8172607421875;51.24502925549523 -0.7401275634765625;51.1688232421875 -0.6693267822265625;51.099134542174255 -0.5920740076013544;51.04362487792969 -0.4940878378378102;51.01332092285156 
344416,1,5,4.516251726848323;45.66142272949219 4.373094512195122;45.59101867675781 4.233529227120536;45.52153015136719 4.091469369283537;45.45053255760063 3.939383370535714;45.374176025390625 
400fdd,4,5,-2.679048426011036;53.10446529065148 -2.6047515869140625;53.04510498046875 
3c4b2b,5,5,2.523052509014423;48.7877197265625 
